^:<name=antho footnote=ck>	note
13.7	For the Right opportunism of Chang Kuo-tao, see "On Tactics Against Japanese Imperialism", Notes 21 and 22, pp. 175-76 of this volume.
13.8	The Officers' Training Corps at Lushan was an organization set up by Chiang Kai-shek in July 1933 on Lushan Mountain in Kiukiang, Kiangsi Province, for training anti-Communist military cadres.^p Officers of Chiang Kai-shek's armed forces were sent there in rotation to receive fascist military and political training from German, Italian and American instructors.
13.9	These new military principles largely constituted the Chiang Kai-shek gang's policy of "blockhouse warfare" in accordance with which it advanced gradually and entrenched itself at every step.
13.10	See V. I. Lenin, " 'Communism' ", in which Lenin, criticizing the Hungarian Communist Bela Kun, said that he "gives up the most essential thing in Marxism, the living soul of Marxism, the concrete analysis of concrete conditions" (Collected Works.^p Russ. ed., Moscow, 1950, Vol. XXXI, p. 143).
13.11	The First Party Congress of the Hunan-Kiangsi Border Area was held on May 20, 1928 at Maoping, Ningkang County.
13.12	For an explanation, see pp. 236-37 of this volume.
13.13	For roving rebels, see "On Correcting Mistaken Ideas in the Party", Notes 4 and 5, pp. 115-16 of this volume.
13.14	"Bandit ways" refers to plundering and looting resulting from lack of discipline, organization and clear political direction.
13.15	The Long March of 25,000 li (12,500 kilometres) was made by the Red Army from Kiangsi Province to northern Shensi Province.^p For further reference, see "On Tactics Against Japanese Imperialism", Note 20, p. 175 of this volume.
13.16	The period after the December uprising of 1905 was defeated, in which the revolutionary tide in Russia gradually receded.^p See History of the Communist Party of the Soviet Union (Bolsheviks), Short Course, Chapter 3, Sections 5 and 6.
13.17	The peace treaty of Brest-Litovsk was concluded between Soviet Russia and Germany in March 1918.^p Confronted with obviously superior enemy forces, the revolutionary forces had to make a temporary retreat in order to prevent the German imperialists from launching an attack on the new-born Soviet Republic, which as yet had no army of its own.^p The conclusion of this treaty gained time for the Soviet Republic to consolidate the political power of the proletariat, reorganize its economy and build up the Red Army.^p It enabled the proletariat to maintain its leadership over the peasantry and build up sufficient strength to defeat the White Guards and the armed intervention of Britain, the United States, France, Japan, Poland and other countries in 1918-20.
13.18	On October 30, 1927 the peasants of the Haifeng-Lufeng area of Kwangtung Province launched their third insurrection under the leadership of the Communist Party of China.^p They occupied Haifeng and Lufeng and the surrounding area, organized a Red Army and established the democratic political power of the workers and peasants.^p They were later defeated because they made the mistake of underestimating the enemy.
13.19	The Fourth Front Army and the Second Front Army of the Red Army joined forces in the autumn of 1936 and shifted northward from the northeastern part of Sikang.^p Chang Kuo-tao was then still persisting in his anti-Party stand and in his policy of retreat and liquidation.^p In October of the same year, when the Second and Fourth Front Armies arrived in Kansu, he ordered the advance units of the Fourth Front Army, numbering more than 20,000, to organize the Western Column for crossing the Yellow River and advancing westward to Chinghai.^p This Column was practically defeated after suffering blows in battles in December 1936 and was completely defeated in March 1937.
13.20	See letter from Karl Marx to L.^p Kugelmann on the Paris Commune.
13.21	Shui Hu Chuan (Heroes of the Marshes) is a celebrated Chinese novel describing a peasant war.^p The novel is attributed to Shih Nai-an who lived around the end of the Yuan Dynasty and the beginning of the Ming Dynasty (14th century).^p Lin Chung and Chai Chin are both heroes in this novel.^p Hung is the drill master on Chai Chin's estate.
13.22	Lu and Chi were two feudal states in the Spring and Autumn Era (722-481 BC).^p Chi was a big state in the central part of the present Shantung Province, nod Lu was a smaller one in the southern part.^p Duke Chuang reigned over Lu from 693 to 662 BC.
13.23	Tsochiu Ming was the author of Tso Chuan, a classical chronicle of the Chou Dynasty.^p For the passage quoted, see the section in Tso Chuan enticed "The loth Year of Duke Chuang" (684 BC).
13.24	The ancient town of Chengkao, in the northwest of the present Chengkao County, Honan Province, was of great military importance.^p It was the scene of battles fought in 203 BC between Liu Pang, King of Han, and Hsiang Yu, King of Chu.^p At first Hsiang Yu captured Hsingyang and Chengkao and Liu Pang's troops were almost routed.^p Liu Pang waited until the opportune moment when Hsiang Yu's troops were in midstream crossing the Szeshui River, and then crushed them and recaptured Chengkao.
13.25	The ancient town of Kunyang, in the north of the present Yehhsien County, Honan Province, was the place where Liu Hsiu, founder of the Eastern Han Dynasty, defeated the troops of Wang Mang, Emperor of the Hsin Dynasty, in AD 23.^p There was a huge numerical disparity between the two sides, Liu Hsiu's forces totalling 8,000 to 9,000 men as against Wang Mang's 400,000.^p But taking advantage of the negligence of Wang Mang's generals, Wang Hsun and Wang Yi, who underestimated the enemy, Liu Hsiu with only 3,000 picked troops put Wang Mang's main forces to rout.^p He followed up this victory by crushing the rest of the enemy troops.
13.26	Kuantu was in the northeast of the present Chungmou County, Honan Province, and the scene of the battle between the armies of Tsao Tsao and Yuan Shao in AD 200.^p Yuan Shao had an army of 100,000 while Tsao Tsao had only a meagre force and was short of supplies.^p Taking advantage of lack of vigilance on the part of Yuan Shao's troops, who belittled the enemy, Tsao Tsao dispatched his light-footed soldiers to spring a surprise attack on them and set their supplies on fire.^p Yuan Shao's army was thrown into confusion and its main force wiped out.
13.27	The state of Wu was ruled by Sun Chuan, and the state of Wei by Tsao Tsao.^p Chihpi is situated on the south bank of the Yangtse River, to the northeast of Chinyni Hupeh Province.^p In AD 208 Tsao Tsao led an army of over 500,000 men, which he proclaimed to be 800,000 strong, to launch an attack on Sun Chuan.^p The latter, in alliance with Tsao Tsao's antagonist Liu Pei, mustered a force of 30,000.^p Knowing that Tsao Tsao's army was plagued by epidemics and was unaccustomed to action afloat, the allied forces of Sun Chuan and Liu Pei set fire to Tsao Tsao's fleet and crushed his army.
13.28	Yiling, to the east of the present Ichang, Hupeh Province, was the place where Lu Hsun, a general of the state of Wu, defeated the army of Liu Pei, ruler of Shu, in AD 222.^p Liu Pei's troops scored successive victories at the beginning of the war and penetrated five or six hundred li into the territory of Wu as far as Yiling.^p Lu Hsun, who was defending Yiling, avoided battle for over seven months until Liu Pei "was at his wits' end and his troops were exhausted and demoralized".^p Then he crushed Liu Pei's troops by taking advantage of a favourable wind to set fire to their tents.
13.29	Hsieh Hsuan, a general of Eastern Tsin Dynasty, defeated Pu Chien, ruler of the state of Chin, in AD 383 at the Peishui River in Anhwei Province.^p Pu Chien had an infantry force of more than 600,000, a cavalry force of 270,000 and a guards corps of more than 30,000, while the land and river forces of Eastern Tsin numbered only 80,000.^p When the armies lined up on opposite banks of the Peishui River, Hsieh Hsuan, taking advantage of the overconfidence and conceit of the enemy troops, requested Pu Chien to move his troops back so as to leave room for the Eastern Tsin troops to cross the river and fight it out.^p Pu Chien complied, but when he ordered withdrawal, his troops got into a panic and could not be stopped.^p Seizing the opportunity, the Eastern Tsin troops crossed the river, launched an offensive and crushed the enemy.
13.30	Nanchang, capital of Kiangsi Province, was the scene of the famous uprising on August l, 1927 led by the Communist Party of China in order to combat the counterrevolution of Chiang Kai-shek and Wang Ching-wei and to continue the revolution of 1924-27.^p More than thirty thousand troops took part in the uprising which was led by Comrades Chou En-lai, Chu The, Ho Lung and Yeh Ting.^p The insurrectionary army withdrew from Nanchang on August 5 as planned, but suffered a defeat when approaching Chaochow and Swatow in Kwangtung Province.^p Led by Comrades Chu Teh, Chen Yi and Lin Piao, part of the troops later fought their way to the Chingkang Mountains and joined forces with the 1st Division of the First Workers' and Peasants' Revolutionary Army under Comrade Mao Tse-tung.
13.31	See "Why Is It That Red Political Power Can Exist in China?", Note 8, p. 72 of this volume.
13.32	The famous Autumn Harvest Uprising under the leadership of Comrade Mao Tse-tung was launched in September 1927 by the people's armed forces of Hsiushui, Pinghsiang, Pingkiang and Liuyang Counties on the Hunan-Kiangd border, who formed the 1st Division of the First Workers' and Peasants' Revolutionary Army.^p Comrade Mao Tse-tung led this force to the Chingkang Mountains where a revolutionary base was established.
13.33	The A-B (initials for "Anti-Bolshevik") Group was a counter-revolutionary organization of undercover Kuomintang agents in the Red areas.
13.34	See V. I. Lenin, "Theses on the Question of the Immediate Conclusion of a Separate and Annexationist Peace", "Strange and Monstrous", "A Serious Lesson and a Serious Responsibility", "Report on War and Peace", Selected Works, in two volumes, Eng. ed., FLPH, Moscow, 1952, Vol. II, Part I, and also History of thc Communist Party of thc Soviet Union (Bolsheviks), Short Course, Chapter 7, Section 7.
13.35	The regions referred to here are those inhabited by the Tibetans in Sikang and the Hui people in Kansu, Chinghai and Sinkiang Provinces.
13.36	The "eight-legged essay" was the prescribed form in the imperial competitive examinations in feudal China from the 15th to the 19th century.^p The main body of the essay was made up of the inceptive paragraph, the middle paragraph, the rear paragraph and the concluding paragraph, with each paragraph comprising two parts.^p Here Comrade Mao Tse-tung is using the development of the theme in this kind of essay as a metaphor to illustrate the development of the revolution through its various stages.^p However, Comrade Mao Tse-tung generally uses the term "eight-legged essay" to ridicule dogmatism.
13.37	In November 1933, under the influence of the people's anti-Japanese upsurge throughout China, the leaders of the Kuomintang's 19th Route Army, in alliance with the Kuomintang forces under Li Chi-shen, publicly renounced Chiang Kai-shek and established the "People's Revolutionary Government of the Republic of China" in Fukien, concluding an agreement with the Red Army to attack Chiang Kai-shek and resist Japan.^p This episode was referred to as the Fukien Incident.^p The 19th Route Army and Fukien People's Government, however, collapsed under the attacks of Chiang Kai-shek's troops.
14.1	Under the influence of the Chinese Red Army and the people's anti-Japanese movement, the Kuomintang's Northeastern Army headed by Chang Hsueh-liang and the Kuomintang's 17th Route Army headed by Yang Hu-cheng agreed to the anti-Japanese national united front proposed by the Communist Party of China and demanded that Chiang Kai-shek should unite with the Communist Party to resist Japan.^p He refused, became still more active in his military preparations for the "suppression of the Communists" and massacred young people in Sian who were anti-Japanese.^p Chang Hsueh-liang and Yang Hu-cheng took joint action and arrested Chiang Kai-shek.^p This was the famous Sian Incident of December 12, 1936.^p He was forced to accept the terms of unity with the Communist Party and resistance to Japan, and was then set free to return to Nanking.
14.2	The Chinese "punitive" group consisted of the pro-Japanese cements in the Kuomintang government in Nanking who tried to wrest power from Chiang Kai-shek during the Sian Incident.^p With Wang Ching-wei and Ho Yiag-chin as their leaders, they advocated a "punitive expedition" against Chang Hsueh-liang and Yang Hu-cheng.^p Availing themselves of the incident, they prepared to start large-scale civil war in order to dear the way for the Japanese invaders and wrest political power from Chiang Kai-shek.
14.3	Seven leaders of the patriotic anti-Japanese movement in Shanghai had been arrested by Chiang Kai-shek's government in November 1936.^p They were Shen Chun-ju, Chang Nai-chi, Tsou Tao-fen, Li Kung-pu, Sha Chien-li, Shih Liang and Wang Tsao-shih.^p They were kept in prison till July 1937.
14.4	Wang Ching-wei was the head of the pro-Japanese group in the Kuomintang.^p He had stood for compromise with the Japanese imperialists ever since their invasion of the Northeast in 1931.^p In December 1938 he left Chungking, openly capitulated to the Japanese invaders, and set up a puppet government in Nanking.
14.5	Ho Ying-chin, a Kuomintang warlord, was another leader of the pro-Japanese group.^p During the Sian Incident he actively plotted civil war by deploying Kuomintang troops for an attack on Shensi along the Lunghai Railway.^p He planned to kill Chiang Kai-shek by bombing Sian, in order to take over Chiang's position.
14.6	T.V. Soong was a pro-American member of the Kuomintang.^p Championing USA interests he, too, favoured a peaceful settlement of the Sian Incident, because USA imperialism was at loggerheads with Japanese imperialism with which it was then contending for supremacy in the Far East.
14.7	This letter sternly criticized the Kuomintang's reactionary rule and the decisions of the Second Plenary Session of its Central Executive Committee.^p It also set out the Communist Party's policy of forming an anti-Japanese national united front and renewing its co-operation with the Kuomintang.^p The main part of the letter reads: In talking about "centralization and unification", the Second Plenary Session of the Central Executive Committee of your party is really confusing cause and effect.^p  It must be emphasized that the civil war and disunity of the last ten years have been entirely caused by the disastrous policy of dependence on imperialism pursued by your party and your party's government, and especially the policy of non-resistance to Japan persisted in ever since the Incident of September 18, 1931.^p  Under the slogan of "Internal pacification before resistance to foreign invasion", your party and your party's government have been carrying on incessant civil war and launching numerous encirclement campaigns against the Red Army, and have spared no effort in suppressing the patriotic and democratic movements of the people throughout the country.^p  Being blind to the fact that Japanese imperialism is China's deadliest enemy, you have had no qualms even in recent months about abandoning northeastern and northern China, you have used all your strength to fight the Red Army and wage factional struggles within your own party, you have blocked the Red Army on its way to fight the Japanese and harassed its rear, you have ignored the nationwide demand for resistance to Japan and have deprived the people of their freedoms and rights.^p  Patriotism is penalized and innocent people are in jail everywhere; treason is rewarded and traitors are jubilant over their new appointments and honours.^p  To seek centralization and unification by means of this wrong policy is like "climbing a tree to seek fish" and will produce exactly the opposite results.^p  We wish to warn you gentlemen that if you do not make a fundamental change in your erroneous policy, and if you do not direct your hatred against the Japanese imperialists but continue to direct it against your own countrymen, you will find it impossible even to maintain the status quo and any talk about centralization, unification and a so-called "modern state" will remain idle chatter.^p  What the whole nation demands is centralization and unification for fighting Japan and saving the nation, not for fawning on the foreigners and persecuting our own people.^p  The people are now eagerly demanding a government that can really save their country and themselves, a really democratic republic.^p  They demand a democratic republican government which will serve their interests.^p The programme of such a government must principally provide for:^p  first, resistance to foreign aggression;^p  second, democratic rights for the people;^p  and third, development of the national economy and elimination, or at least alleviation, of the people's sufferings.^p  If there is any sense in your talk about a "modern state", this is the only programme genuinely meeting the needs of colonial and semi-colonial China in the present era.^p  With eager hopes and firm determination the people are struggling for the realization of these objectives.^p  But your party and your party's government are pursuing a policy that runs counter to their hopes and you will never win their confidence.^p The Chinese Communist Party and the Chinese Red Army hereby solemnly declare: we stand for the resting up of a unified democratic republic for the whole country and the convening of a parliament elected by universal suffrage, and we support an anti-Japanese national salvation congress representative of all the people and all the anti-Japanese armed forces in the country, and a unified national defence government for the whole country.^p  We hereby declare: as soon as a unified democratic republic is set up for the whole of China, the Red areas will become one of its component parts, the representatives of the people of the Red areas will attend the all-China parliament, and the same democratic system will be set up in the Red areas as in other parts of China.^p  We hold that the national defence council, which the Second Plenary Session of the Central Executive Committee of your party has decided to organize, and the national assembly, which your party and your party's government are in process of convening, cannot achieve centralization and unification for resisting Japan and saving the nation.^p According to the regulations of the national defence council passed by the Second Plenary Session of the Central Executive Committee of your party, this council will be confined to a few officials who hold power in your party and your party's government, and its task is merely to serve as an advisory body to that government.^p  It is only too dear that such a council cannot achieve anything or win any confidence among the people.^p  The same applies to the national assembly which you gentlemen propose to convene; according to the "Draft Constitution of the Republic of China" and the "Organic Law and Election Law of the National Assembly" passed by your party's government, this assembly will be merely an organ manipulated by a few officials of your party and your party's government, it will be nothing but an appendage for them, or a piece of ornamentation.^p  A national defence council and a national assembly of this kind have nothing at all in common with the all-China congress for resistance to Japan and for national salvation--the national defence council--and the Chinese democratic republic and its parliament which our Party has proposed.^p We hold that a national defence council for resistance to Japan and national salvation must include representatives of all the political parties and groups, all walks of life and all the armed forces, and must constitute a real organ of authority to decide the major polices for resisting Japan and saving the nation, and that a unified national defence government must be formed from this council.^p  The national assembly must be a parliament elected by universal suffrage and the supreme organ of authority of the democratic republic of China.^p  Only such a national defence council and such an all-China parliament will win the approval, support and participation of the people of the whole country and place the great cause of saving the nation and the people on a firm, unshakable foundation.^p  Mere fine words are useless and will not win the people's approval.^p  The failure of the various conferences held by your party and your party's government is the best proof of this.^p The declaration of the Second Plenary Session of the Central Executive Committee of your party stated, "Dangers and obstacles are only to be expected; but we will never, because of the difficulties and troubles that beset the nation, relax in the fulfilment of our duty."^p  And again, "As to the survival of the nation, naturally our party will work for it persistently, body and soul."^p  True enough, being the ruling party in the largest part of China, your party must bear the political responsibility for all past deeds.^p  In view of the fact that the Kuomintang government is a one-party dictatorship, your party can never escape this responsibility.^p In particular, you can never shift onto others your responsibility for the loss of almost half of China, resulting from the absolutely wrong policy which your party has pursued since the September 18th Incident against the wishes of all the people and the interests of the whole nation.^p As we and all the people see it, since half of China has been abandoned by your party, it certainly cannot evade its duty of recovering the territory and restoring China's sovereignty.^p At the same time, even within your party many men of conscience are now clearly awake to the horrors of national subjugation and the inviolability of the people's will, they are beginning to turn in a new direction and feel indignant and dissatisfied with those in their midst who have brought disaster both to their party and to the nation.^p The Chinese Communist Party has full sympathy with this new turn and warmly applauds the noble spirit and awakening of these patriotic and conscientious members of the Kuomintang, their readiness to make sacrifices in the struggle, and their courage to introduce reforms when the nation is on the brink of ruin.^p  We know that the number of awakened and patriotic people is increasing daily in your party's central and provincial headquarters, in its central and provincial governments, in educational, scientific, artistic, journalistic and industrial circles, among the women and in religious and medical circles, within the police service, among all kinds of popular organizations, and in particular among the broad ranks of the army and among both old and new Kuomintang members as well as Kuomintang leaders at various levels; this is very heartening.^p The Chinese Communist Party is always ready to join hands with these members of the Kuomintang and form a solid national united front with them to fight the nation's deadliest enemy, Japanese imperialism.^p We hope that they will speedily grow into a dominant force in the Kuomintang and prevail over those wicked and shameless members who have ignored the interests of the nation and virtually become Japanese agents and collaborators--members who are a disgrace to Dr. Sun Yat-sen's memory--and we hope that they will thus be able to revive the spirit of Dr. Sun's revolutionary Three People's Principles, reaffirm his Three Great Policies of alliance with Russia, co-operation with the Communist Party and assistance to the peasants and workers, and "work persistently, body and soul" for the realization of the revolutionary Three People's Principles, of the Three Great Policies and of Dr. Sun's revolutionary Testament.^p We hope that, together with the patriotic leaders of all political parties and groups and of all walks of life and together with all patriotic people, they will resolutely shoulder the responsibility of continuing Dr. Sun's revolutionary cause and will throw themselves into the struggle to drive out the Japanese imperialists and save the Chinese nation from subjugation, to win democratic rights for the people, to develop China's national economy and free the vast majority of its people from their sufferings, and to bring into being the democratic republic of China with a democratic parliament and democratic government.^p The Chinese Communist Party hereby declares to all members of the Kuomintang: "if you really do this, we shall resolutely support you and are ready to form with you a solid revolutionary united front like that of the great revolutionary period of 1924-27 against imperialist and feudal oppression, for this is the only correct way today to save the nation from subjugation and ensure its survival."
15.1	The Northern China Incident took place in 1935 when the Japanese carried on aggression against northern China and the Kuomintang government headed by Chiang Kai-shek betrayed our sovereignty and humiliated our nation.^p In May of that year, the Japanese demanded that the Kuomintang government grant them administrative authority over northern China, and in June Ho Ying-chin the Kuomintang government's representative there, submitted and signed an agreement with Yoshijiro Umezu, commander of the invading forces in northern China which became known as the "Ho-Umezu Agreement".^p By its terms China forfeited much of her sovereignty in the provinces of Hopei and Chahar.^p In October at the instigation of the Japanese invaders, some Chinese traitors staged a revolt in Hsiangho, Hopei Province, and seized the county town.^p In November, a number of Chinese traitors were put up by the Japanese invaders to start a self-styled movement of autonomy in the five provinces of northern China, and a puppet "Anti-Communist Autonomous Administration" was established in eastern Hopei To meet the Japanese demand for "special administration for northern China" the Kuomintang government appointed Sung Cheh-yuan and others to form a "Political Council for Hopei and Chahar".
15.2	This declaration was issued by the Chinese Communist Party on August 1, 1935.^p Its main points are contained in the following extracts^p "At this moment when our country and our people are threatened with imminent destruction, the Communist Party once again appeals to all fellow countrymen: whatever the past or present differences of political opinion and of interests among the political parties, whatever the differences of view and of interests among our countrymen in their various walks of life, whatever the past or present hostilities between the various armies, we should truly awaken to the realization that 'brothers quarreling at home, join forces against attacks from without' and, first and foremost, we should stop the civil war so as to concentrate the nation's resources (manpower, material and financial resources, and the armed forces) on the fight for the sacred cause of resisting Japan and saving the nation.^p Once again the Communist Party solemnly declares if the Kuomintang troops cease their attacks on the Red Army and if any units carry out resistance to Japan, then the Red Army, regardless of any old feuds or present conflicts or differences on domestic issues, will not only immediately cease its hostile actions against these units, but willingly work closely with them to save the nation."^p "The Communist Party is willing to initiate a national defence government of this kind; for the joint formation of such a national defence government it is ready to hold immediate talks with all those willing to join the cause of resisting Japan and saving the nation--all political parties, all organizations (trade unions, peasant associations, student unions, chambers of commerce educational associations, journalists' societies, associations of teachers and other staff of schools, fellow-townsmen's associations, the Chih Kung Tang the Association for National Armed Self-Defence, the Anti-Japanese Association the Association for National Salvation, etc.), all prominent public figures, scholars and statesmen and all local military and administrative bodies The national defence government emerging out of these negotiations should be a provisional organ of leadership for saving the nation from subjugation and ensuring its survival.^p It should endeavour to convene a delegate body truly representative of all our countrymen (with delegates democratically elected by all the various circles of workers, peasants, soldiers, government personnel, businessmen and students, by all parties and all organizations willing to resist Japan and save the nation, and by all overseas Chinese and all the nationalities within China's boundaries) to discuss all problems relating to armed resistance and national salvation in more specific terms.^p The Communist Party will do its very best to help convene such an assembly of representatives of the people and to carry out all its decisions."^p "An anti-Japanese united army should be formed of all troops willing to fight Japan.^p A single general headquarters of this army should be set up under the leadership of the national defence government.^p The question of whether this headquarters should be composed of representatives elected by the officers and men of the various anti-Japanese army units or be formed in some other way should be decided by the representatives of all circles and by the will of the people.^p The Red Army will unreservedly be the first to join this united army and fulfil its duty in resisting Japan and saving the nation.^p To enable the national defence government and the anti-Japanese united army effectively to discharge their immense responsibilities for national defence and for resisting Japan, the Communist Party hereby appeals to the whole nation: those who have money give money, those who have guns give guns, those who have grain give grain, those who have labour power give labour power, and those who have special skill contribute special skill, so that all our fellow-countrymen will be mobilized and all weapons, old or modern, will be used to arm the people in millions upon millions."
15.3	The December resolution was the "Resolution on the Present Political Situation and the Tasks of the Party", adopted at the meeting of the Political Bureau of the Central Committee of the Chinese Communist Party at Wayaopao, northern Shensi, on December 25, 1935.^p It made a comprehensive analysis of the current internal and international situation and the changes in class relations in China, and formulated the Party's policy.^p The resolution runs in part as follows:^p The present situation shows that the attempts of Japanese imperialism to annex China have shocked the whole country and the whole world.^p Changes have taken place or are taking place in the relations between all classes, strata, political parties and armed forces in China's political life.^p There is a realignment of forces in both the national revolutionary front and the national counter-revolutionary front.^p Therefore, the Party's tactical line is to arouse, unite and organize the revolutionary forces throughout the country and among all the nationalities to oppose the chief enemy confronting them, namely, Japanese imperialism and the arch-traitor Chiang Kai-shek.^p All people, all parties, all armed forces and all classes, in so far as they are opposed to Japanese imperialism and the traitor Chiang Kai-shek, should unite and wage the sacred national revolutionary war, drive the Japanese imperialists out of China, overthrow the rule of their running dogs in China, achieve the complete liberation of the Chinese nation and safeguard China's independence and territorial integrity.^p Only by establishing the broadest anti-Japanese national united front (embracing the lower and upper strata) can we defeat Japanese imperialism and its running dog, Chiang Kai-shek.^p Of course, different individuals, different organizations, different social classes and strata and the various armed forces join the anti-Japanese national revolution from different motives and with different class standpoints.^p Some do so in order to hold on to their positions, some to gain leadership in the movement so that it will not go beyond, the limits they allow, and some genuinely to work for the complete liberation of the Chinese nation.^p Precisely because their motives and their standpoint differ, some will vacillate or turn traitor at the very start of the struggle, some will become indifferent or withdraw from the fight midway and some will determinedly fight to the end.^p Nevertheless, our task is to unite not only al possible basic forces but also all potential allies likely to resist Japan and enable the people throughout the country who have labour power to give labour power, those who have money to give money, those who have guns to give guns, and those who have knowledge to contribute knowledge, leaving no patriotic Chinese outside the anti-Japanese front.^p Such is the general line of e Party's tactics for the broadest possible national united front.^p Only by pursuing this line can we mobilize the forces of the whole people to deal with the common enemy, Japanese imperialism and the traitor Chiang Kai-shek.^p The Chinese working class and peasantry remain the basic motive forces of the Chinese revolution.^p The broad masses of the petty bourgeoisie and the revolutionary intellectuals are their most reliable allies in the national revolution A solid alliance of the workers, the peasants and the petty bourgeoisie is the basic force for defeating Japanese imperialism and the traitors and collaborators When a section of the national bourgeoisie and the warlords gives moral support, maintains benevolent neutrality or directly participates in the struggle against Japan and the traitors and collaborators, this will serve to expand the anti-Japanese front, however much it may disapprove of the agrarian revolution an Red political power.^p For the total strength of the counter-revolution will thus be reduced and the total strength of the revolution increased.^p To this end the Party should adopt appropriate ways and means to win these forces over to the anti-Japanese front.^p Moreover, unity is by no means prevalent even in the camp of the landlord and comprador classes.^p Since the contention for China among many imperialist powers has generated contending groups of traitors in their service with contradictions and conflicts among them, the Party should employ a variety of methods to ensure that for the time being some of these counter-revolutionary forces do not actively oppose the anti-Japanese front The same tactics should be applied in dealing with the imperialist powers other than Japan.^p In arousing, uniting and organizing the forces of the people through out the country to fight the common enemy, the Party should resolutely and unswervingly combat all tendencies towards vacillation, compromise, capitulation and betrayal within the anti-Japanese united front.^p Those who disrupt the Chinese people's anti-Japanese movement are traitors or collaborators whom we should all join in hitting hard.^p The Communist Party should win the leadership of the anti-Japanese front by being resolute and right in its words and deeds against the Japanese imperialists and the traitors and collaborators Only under the Communist Party's leadership can the anti-Japanese movement be completely victorious.^p With regard to the masses in the anti-Japanese war, it is necessary to satisfy their demands in matters affecting their basic interests (the demand of the peasants for land and the demand of the workers the soldiers the urban poor and the intellectuals for better living).^p Only by satisfying their demands will we be able to mobilize still broader sections of the masses to join the anti-Japanese ranks, keep up the anti-Japanese movement, and lead the movement to complete victory.^p And only thus can the Party win leadership in the anti-Japanese war.^p See "On Tactics Against Japanese Imperialism", pp. 153 - 78 of this volume.
15.4	The Red Army sent an open telegram on May 5, 1936 demanding that the Nanking government end the civil war, conduct peace negotiations with the Communists for unity against Japan.^p The text reads as follows:^p To the Military Council of the Nanking National Government; to all land, sea and air forces, to all parties, all political groups; all public bodies, all newspapers; and to all fellow-countrymen refusing to be slaves to a foreign nation.^p After crossing the Yellow River on its eastward expedition, the Anti-Japanese Vanguard of the Chinese People's Red Army, organized by the Revolutionary Military Commission of the Chinese Red Army, was everywhere victorious and won support from all over the country.^p But when it occupied the Tatung-Puchow Railway and was energetically preparing to drive eastward into Hopei to engage the Japanese imperialists directly, Chiang Kai-shek sent more than ten divisions into Shansi and co-operated with Yen Hsi-shan in barring its advance against the Japanese.^p He also ordered the troops under Chang Hsueh-liang and Yang Hu-cheng, as well as the troops in northern Shensi, to march on the Shensi-Kansu Red area to harass our anti-Japanese rear In order to be able to reach and fight the Japanese, the people's Anti-Japanese Vanguard should have concentrated its entire strength and wiped out Chiang's troops blocking the way.^p But after much deliberation, the Revolutionary Military Commission of the Red Army decided that a battle to the finish between the two sides in the present national crisis would only damage China's strength for national defence and delight the Japanese imperialists, whichever side emerged victorious Furthermore, there are quite a number of patriotic officers and men in Chiang Kai-shek's and Yen Hsi-shan's armies who are willing to end the civil war and unite to resist Japan, and it is really against their consciences to obey Chiang's and Yen's orders and block the Red Army on its way to fight the Japanese.^p Therefore, in spite of its numerous victories in Shansi, the Revolutionary Military Commission of the Red Army has withdrawn the people's Anti-Japanese Vanguard to the west of the Yellow River in order to preserve China's strength for national defence and thereby help to bring nearer the war of resistance against Japan, resolutely carry out our repeated declarations to the nation on ending the civil war and uniting to resist Japan, and hasten the final awakening of Chiang Kai-shek and the patriotic officers and men in his army.^p With this demonstration of our good faith to the Nanking government, to all the country's land, sea and air forces and to the whole nation, we are ready to arrange a cease-fire with all the armed units attacking the and-Japanese Red Army within one month and to enter into peace negotiations with them in order to end the civil war and resist Japan.^p The Revolutionary Military Commission of the Red Army hereby solemnly advises the gentlemen of the Nanking government at this critical juncture, when our country and people are threatened with imminent destruction, to make a determined effort to atone for past misdeeds and end the civil war in the whole country, to join forces against attacks from-without in the spirit of brothers quarreling at home, and first of all end the civil war in Shensi, Kansu and Shansi, whereupon both sides should appoint delegates to discuss specific measures for resisting Japan and saving the nation.^p This will be a blessing to the nation and the country as well as for your own good.^p However, if you obstinately refuse to listen to reason and prefer to be traitors and collaborators, your rule will surely collapse in the end and you will be spurned and overthrown by the whole nation.^p The old saying runs, "A thousand pointing fingers accuse, and a man dies even without a sickness." Or as another saying goes, "The butcher who lays down his knife at once becomes a Buddha." These are words for you gentlemen to digest and ponder.^p And the Revolutionary Military Commission of the Red Army calls upon all organizations all parties and all people in the country, who refuse to be slaves to a foreign nation, to support our proposal for a cease-fire and peace negotiations, and for unity against Japan, to organize committees for hastening the cessation of the civil war and to send representatives to the front to stop the firing on both sides and to supervise the full implementation of this proposal
15.5	See "A Statement on Chiang Kai-shek's Statement' Note 7, pp. 259-61 of this volume.
